,Bankrupt,TA,GP,Sales,Cash,LT Debt,Inventories,Current liabilities,Retained earnings,Current assets,EBIT,Operating income,ROA,ROE,ROS,NI,WC
6548,,105990000,22689000,511639000,1182000.0,,,97965000.0,8015000.0,105838000,9339000.0,12803000.0,0.0835,1.0092,0.0144,7371000.0,8025000.0
6549,,5523000,7589000,161649000,89000.0,,,21450000.0,-15937000.0,2254000,-4782000.0,3670000.0,,,-0.0185,-2991000.0,-15927000.0
6550,,11548000,1248000,6475000,1000.0,23000.0,2000.0,1325000.0,10187000.0,10814000,-1459000.0,-1095000.0,-0.059,-0.1091,-0.1822,-1180000.0,10200000.0
6551,,55786000,625000,2863000,1000.0,43523000.0,20788000.0,30706000.0,-26689000.0,31578000,-8331000.0,-4590000.0,-0.1398,0.5584,-2.9102,-8332000.0,-18443000.0
6552,,37639000,22142000,43388000,4907000.0,,21006000.0,,37629000.0,34204000,11350000.0,22142000.0,0.0886,0.2401,0.2369,10278000.0,37639000.0
6553,,3435000,1560000,1560000,2000.0,,1801000.0,3415000.0,10000.0,2626000,13000.0,13000.0,0.0027,0.4444,0.0064,10000.0,20000.0
6554,,16948000,1438000,8625000,,3562000.0,6097000.0,11360000.0,2013000.0,12474000,53000.0,145000.0,0.0014,0.0072,0.0022,19000.0,2026000.0
6555,,76037000,165000,13317000,1000.0,82000.0,3179000.0,74815000.0,1121000.0,75344000,99000.0,165000.0,0.001,0.0661,0.0055,73000.0,1140000.0
6556,,567000,129000,862000,1000.0,,60000.0,,557000.0,61000,129000.0,129000.0,0.0795,0.0795,0.0928,80000.0,567000.0
6557,,1488437000,47795000,47795000,270000.0,116000000.0,244350000.0,412532000.0,18885000.0,1003111000,-5692000.0,21439000.0,-0.0068,-0.0157,-0.1625,-7769000.0,959905000.0
6558,,110700000,9450000,46827000,884000.0,82934000.0,33540000.0,13056000.0,-217000.0,46441000,191000.0,2376000.0,0.001,0.0073,0.0023,107000.0,18010000.0
6559,,226030000,6577000,356652000,13000.0,,15571000.0,225978000.0,-948000.0,225777000,1274000.0,3408000.0,0.0067,-1.5869,0.0022,799000.0,52000.0
6560,,141408000,705000,25367000,2671000.0,31000.0,,134562000.0,6805000.0,140835000,386000.0,393000.0,0.0021,0.0464,0.0122,309000.0,6815000.0
